x,acc_delay
1626,15.0
1627,16.1
1628,16.3
1629,16.3
1630,17.1
1631,15.7
1632,19.3
1633,18.4
1634,17.6
1635,18.1
1636,16.65
1637,16.8
1638,16.3
1639,15.6
1640,17.6
1641,18.3
1642,18.9
1643,16.3
1644,17.05
1645,13.85
1646,18.4
1647,16.55
1648,16.3
1649,15.55
1650,14.8
1651,17.3
1652,18.65
1653,17.4
1654,16.3
1655,16.55
1656,16.3
1657,18.1
1658,16.3
1659,11.1
1660,15.899999999999999
1661,16.9
1662,16.3
1663,18.6
1664,14.95
1665,16.55
1666,16.700000000000003
1667,16.3
1668,15.8
1669,17.9
1670,14.8
1671,16.950000000000003
1672,19.6
1673,17.2
1674,18.55
1675,16.15
1676,16.3
1677,16.3
1678,17.2
1679,19.45
1680,17.3
1681,15.9
1682,15.5
1683,14.899999999999999
1684,20.0
1685,14.15
1686,17.65
1687,18.9
1688,16.3
1689,16.3
1690,16.3
1691,18.6
1692,14.35
1693,15.8
1694,18.450000000000003
1695,16.3
1696,17.3
1697,17.3
1698,14.85
1699,17.05
1700,18.1
1701,13.85
1702,15.700000000000001
1703,18.2
1704,17.6
1705,16.3
1706,17.75
1707,17.3
1708,17.5
1709,17.3
1710,18.4
1711,17.3
1712,19.35
1713,17.05
1714,17.9
1715,15.7
1716,18.4
1717,14.3
1718,16.75
1719,17.0
1720,14.8
1721,16.75
1722,17.450000000000003
1723,15.5
1724,17.7
1725,12.7
1726,13.7
1727,13.8
1728,17.0
1729,16.3
1730,19.75
1731,15.55
1732,17.05
1733,14.8
1734,17.25
1735,15.65
1736,16.7
1737,17.15
1738,13.7
1739,16.55
1740,16.55
1741,16.3
1742,16.3
1743,17.65
1744,16.3
1745,16.9
1746,18.85
1747,16.3
1748,16.3
1749,16.15
1750,16.55
1751,16.3
1752,17.25
1753,14.8
1754,15.8
1755,16.3
1756,16.700000000000003
1757,16.1
1758,16.55
1759,14.8
1760,11.649999999999999
1761,16.3
1762,18.05
1763,18.55
1764,14.85
1765,17.950000000000003
1766,16.3
1767,15.3
1768,17.9
1769,16.3
1770,16.3
1771,15.05
1772,15.4
1773,17.3
1774,13.5
1775,16.3
1776,18.75
1777,17.0
1778,15.4
1779,12.399999999999999
1780,16.65
1781,16.3
1782,15.2
1783,16.3
1784,17.0
1785,15.25
1786,14.3
1787,17.3
1788,16.3
1789,16.2
1790,17.5
1791,16.05
1792,18.9
1793,17.1
1794,16.1
1795,15.8
1796,16.5
1797,15.7
1798,15.100000000000001
1799,15.5
1800,16.1
1801,15.9
1802,15.8
1803,19.5
1804,17.05
1805,17.9
1806,15.7
1807,16.3
1808,17.05
1809,17.05
1810,14.35
1811,13.7
1812,16.3
1813,16.3
1814,14.8
1815,15.3
1816,15.200000000000001
1817,16.7
1818,19.25
1819,15.55
1820,16.3
1821,18.85
1822,17.3
1823,17.3
1824,14.85
1825,15.8
1826,16.3
1827,16.3
1828,16.1
1829,17.0
1830,14.3
1831,14.3
1832,16.3
1833,17.1
1834,18.85
1835,16.8
1836,15.0
1837,16.549999999999997
1838,13.25
1839,18.65
1840,15.8
1841,16.3
1842,16.4
1843,15.450000000000001
1844,14.3
1845,19.7
1846,14.799999999999999
1847,15.9
1848,15.9
1849,16.3
1850,13.7
1851,17.7
1852,18.7
1853,14.3
1854,15.0
1855,18.25
1856,16.3
1857,16.950000000000003
1858,19.65
1859,17.8
1860,17.1
1861,16.3
1862,15.0
1863,20.0
1864,19.0
1865,16.1
1866,16.3
1867,15.8
1868,14.8
1869,16.2
1870,17.3
1871,16.8
1872,14.2
1873,16.3
1874,16.85
1875,16.3
1876,16.3
1877,17.3
1878,15.8
1879,18.75
1880,14.3
1881,15.3
1882,15.3
1883,16.3
1884,16.3
1885,15.55
1886,16.2
1887,15.3
1888,17.3
1889,16.8
1890,17.45
1891,15.850000000000001
1892,15.75
1893,16.55
1894,16.3
1895,17.9
1896,16.3
1897,15.3
1898,13.35
1899,21.7
1900,18.5
1901,17.5
1902,16.3
1903,17.3
1904,16.3
1905,16.3
1906,16.3
1907,15.65
1908,17.55
1909,16.8
1910,16.3
1911,15.899999999999999
1912,17.3
1913,16.75
1914,18.1
1915,17.8
1916,16.3
1917,17.65
1918,15.65
1919,18.049999999999997
1920,22.5
1921,15.5
1922,18.65
1923,14.7
1924,18.55
1925,17.05
1926,17.0
1927,16.8
1928,14.600000000000001
1929,15.899999999999999
1930,16.55
1931,16.35
1932,17.4
1933,17.4
1934,17.1
1935,16.15
1936,18.75
1937,15.8
1938,17.75
1939,17.25
1940,16.3
1941,15.899999999999999
1942,14.2
1943,12.25
1944,18.1
1945,16.3
1946,14.2
1947,14.9
1948,16.3
1949,15.8
1950,16.3
1951,12.5
1952,15.65
1953,19.1
1954,14.35
1955,17.25
1956,17.95
1957,18.5
1958,16.75
1959,16.55
1960,16.3
1961,14.95
1962,18.0
1963,18.6
1964,15.149999999999999
1965,16.3
1966,16.3
1967,14.2
1968,16.2
1969,13.85
1970,15.3
1971,16.6
1972,14.8
1973,15.3
1974,16.3
1975,20.299999999999997
1976,17.8
1977,18.55
1978,14.95
1979,16.0
1980,16.55
1981,18.5
1982,17.45
1983,15.3
1984,21.05
1985,16.65
1986,14.8
1987,16.3
1988,16.3
1989,18.15
1990,16.3
1991,17.0
1992,15.3
1993,17.3
1994,16.3
1995,19.950000000000003
1996,15.25
1997,14.25
1998,18.0
1999,18.65
