x,episode_rewards,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
98,759.0,4.4,4.5,3.8,4.6,4.0,4.0,5.2,4.8,4.1,4.1,3.2,4.9,4.1,4.1,4.4,3.0,5.0,3.7
99,697.0,3.6,3.1,4.0,4.5,4.7,3.9,3.4,4.3,3.4,4.3,3.8,4.0,3.4,4.5,4.1,3.7,4.0,3.0
100,740.0,4.5,3.5,3.9,4.8,4.1,3.6,4.4,4.5,4.0,4.8,4.3,3.3,4.0,4.9,3.7,4.3,3.7,3.7
101,781.0,4.9,2.3,4.5,4.1,5.3,3.9,4.6,4.4,3.6,4.4,5.1,4.4,4.1,4.3,4.0,4.8,5.0,4.4
102,728.0,4.3,3.6,4.2,3.9,5.1,2.9,3.8,4.1,4.3,3.7,4.0,4.4,4.5,5.1,3.2,4.0,4.0,3.7
103,756.0,4.9,4.0,3.3,4.3,3.8,4.0,3.8,4.1,4.5,5.5,4.8,4.4,3.9,2.4,4.8,4.5,4.5,4.1
104,741.0,4.6,2.8,4.3,4.4,3.9,3.9,3.7,4.9,4.6,4.0,4.1,3.0,3.3,4.8,4.4,3.8,4.7,4.9
105,727.0,4.2,4.6,4.1,3.9,4.1,3.9,4.1,3.7,4.1,4.1,4.4,3.8,3.5,3.7,4.4,3.7,4.1,4.3
106,700.0,2.3,3.6,4.1,4.4,4.7,3.7,4.0,3.3,3.7,3.5,4.3,3.6,3.4,4.1,2.9,5.2,4.8,4.4
107,714.0,4.0,4.9,3.1,3.6,4.6,3.8,4.2,3.0,4.6,3.0,4.3,4.4,4.2,4.4,3.9,3.4,3.3,4.7
108,738.0,4.5,4.7,3.2,4.1,3.3,4.7,3.6,4.5,3.8,4.5,3.5,4.8,5.0,3.8,4.5,3.7,3.5,4.1
109,737.0,4.1,3.8,3.3,4.2,4.1,5.4,3.7,3.8,4.1,5.3,3.5,4.2,4.4,5.3,3.5,3.7,3.7,3.6
110,785.0,4.4,4.3,5.1,4.2,4.4,4.6,4.2,4.7,4.8,4.4,4.4,3.7,5.0,4.0,3.9,4.5,3.3,4.6
111,725.0,4.4,4.2,4.5,4.0,2.9,5.1,2.8,4.1,4.4,3.4,4.6,4.1,3.8,4.0,4.1,3.8,4.1,4.2
112,736.0,5.1,4.9,3.2,4.2,3.2,4.3,3.6,3.6,3.2,4.0,4.1,4.6,4.5,3.1,4.0,4.4,5.2,4.4
113,742.0,4.1,3.9,4.0,4.5,4.0,3.6,4.4,4.2,3.0,5.2,2.8,4.8,3.8,3.8,5.2,4.6,4.0,4.3
114,700.0,3.6,3.5,3.8,3.0,3.9,3.8,2.6,3.8,4.1,4.7,4.7,3.6,3.5,4.6,4.0,3.4,5.3,4.1
115,727.0,4.6,4.4,4.4,4.0,3.6,3.7,4.6,3.4,2.9,5.0,5.0,3.9,4.0,3.2,3.9,4.6,3.6,3.9
116,714.0,3.9,3.6,3.6,3.2,4.4,3.6,4.2,3.8,3.6,4.7,4.4,3.0,3.8,4.8,4.4,4.8,4.5,3.1
117,761.0,4.1,4.0,3.9,4.2,4.4,4.1,4.9,4.6,4.6,4.6,3.0,4.6,4.1,4.0,4.3,3.9,4.7,4.1
118,689.0,4.3,3.3,3.1,3.1,4.2,4.1,4.5,4.6,4.2,3.9,2.9,3.9,2.9,4.0,4.5,3.8,3.6,4.0
119,721.0,3.7,4.3,5.2,4.5,4.9,3.6,4.3,3.7,4.2,4.3,2.9,4.4,2.9,3.5,4.2,4.2,3.5,3.8
120,728.0,4.7,3.3,3.5,3.2,5.0,3.6,3.9,5.4,4.4,4.6,3.5,3.9,3.9,3.4,4.7,4.2,4.0,3.6
121,715.0,3.8,4.6,2.8,4.4,3.4,2.9,4.4,4.2,4.3,2.5,3.5,4.5,3.8,5.1,3.7,4.3,3.9,5.4
122,698.0,4.8,4.1,4.0,3.4,4.5,3.3,2.4,3.6,3.0,4.0,3.8,3.7,3.3,4.3,4.2,5.4,4.0,4.0
123,692.0,3.6,3.2,4.3,5.1,3.5,4.5,3.7,4.1,2.8,3.6,4.1,4.4,3.3,2.8,4.3,3.9,3.7,4.3
124,717.0,4.5,4.3,3.3,3.6,4.7,3.5,3.8,4.0,3.9,4.9,3.7,3.5,3.5,4.3,4.3,5.1,3.9,2.9
125,747.0,4.5,3.7,4.1,3.1,5.2,4.3,4.3,4.6,4.8,3.4,4.8,3.4,3.9,3.7,4.6,3.9,4.2,4.2
126,741.0,4.1,3.6,3.4,4.1,4.0,5.0,3.6,5.1,4.3,4.2,3.9,4.0,4.0,4.4,4.8,4.1,3.5,4.0
127,693.0,3.4,4.6,3.4,3.5,3.9,3.5,3.4,3.6,4.4,3.7,4.8,3.7,3.3,4.7,4.5,3.5,4.2,3.2
128,712.0,3.6,3.6,4.2,4.2,3.0,3.5,4.2,4.7,3.8,4.5,4.0,3.0,4.2,3.8,4.4,3.9,3.9,4.7
129,710.0,4.2,3.7,3.7,3.9,5.3,1.9,3.8,3.8,4.0,3.8,3.9,3.9,3.9,4.5,3.2,4.3,4.6,4.6
130,723.0,5.0,3.8,4.1,3.8,3.2,4.2,5.2,4.5,3.3,2.8,4.2,4.3,3.9,4.1,4.1,3.9,3.4,4.5
131,679.0,4.0,3.6,4.1,3.2,4.6,4.4,3.8,3.4,4.1,4.5,3.2,3.8,4.3,3.5,3.3,2.6,3.0,4.5
132,776.0,5.2,3.8,4.5,4.3,4.0,4.2,5.4,3.8,4.8,4.6,4.1,4.2,4.3,4.1,4.2,4.2,4.1,3.8
133,744.0,4.3,4.6,3.8,4.3,3.8,4.1,3.5,3.8,4.7,5.2,5.0,3.6,3.9,4.2,3.7,3.5,4.3,4.1
134,726.0,4.1,3.6,4.7,4.2,5.0,3.5,2.9,3.9,3.8,3.6,4.7,4.2,4.4,4.2,4.2,3.6,4.1,3.9
135,702.0,4.4,5.0,3.2,3.8,3.2,4.3,3.5,4.0,5.0,3.8,4.1,4.3,3.6,4.1,3.4,3.6,3.2,3.7
136,723.0,4.3,2.6,4.1,4.9,4.1,4.0,4.0,3.7,4.9,4.1,3.0,3.4,4.7,4.3,4.6,3.8,4.3,3.5
137,727.0,4.8,4.5,3.2,3.9,3.4,4.3,4.1,3.9,4.1,4.1,3.4,3.6,4.1,5.2,4.0,4.2,4.3,3.6
138,745.0,4.8,3.4,4.3,4.8,4.5,4.9,4.5,3.9,3.5,2.9,3.5,4.6,4.3,4.3,4.5,3.7,3.9,4.2
139,702.0,4.3,3.1,3.5,4.9,3.3,4.1,5.1,3.5,3.0,3.6,3.9,3.5,3.6,3.8,3.9,4.1,3.9,5.1
140,697.0,3.2,3.4,3.7,4.3,3.4,3.9,4.0,4.0,4.3,4.0,4.0,4.1,3.5,4.2,3.8,3.8,3.1,5.0
141,731.0,3.8,3.7,4.0,3.8,4.6,4.7,3.9,3.9,3.2,4.7,4.4,4.6,3.8,3.5,4.0,4.0,3.4,5.1
142,749.0,3.9,3.8,4.1,5.0,3.4,4.9,4.7,4.2,4.1,4.5,4.5,4.2,3.3,4.2,3.6,3.8,4.4,4.3
143,716.0,3.9,4.5,3.9,5.0,3.6,4.3,3.9,3.6,3.7,3.8,3.6,4.7,4.6,4.0,4.3,3.3,3.8,3.1
144,703.0,3.8,3.3,4.1,4.6,4.2,4.4,4.3,3.6,3.7,3.9,4.0,4.8,3.2,4.8,3.7,3.5,3.4,3.0
145,716.0,4.3,4.6,4.7,4.3,3.7,4.6,3.1,4.4,3.2,3.9,4.9,2.7,3.8,3.9,3.4,4.6,4.0,3.5
146,727.0,3.8,3.7,2.7,3.9,5.3,4.4,4.5,4.3,3.5,4.3,4.3,4.0,3.4,4.7,3.5,4.0,4.2,4.2
147,731.0,3.3,3.9,4.2,3.9,2.6,4.2,4.9,4.4,4.6,5.1,4.1,4.0,3.2,3.9,3.7,4.1,4.6,4.4
148,747.0,3.9,2.8,4.8,4.2,4.3,4.6,5.1,4.8,4.8,3.9,3.0,3.7,4.9,4.9,2.7,3.2,4.7,4.4
149,753.0,4.1,3.6,3.3,3.8,3.9,5.3,4.3,3.7,3.4,4.5,4.4,5.2,2.7,4.3,4.6,4.6,4.1,5.5
150,661.0,3.1,2.9,3.2,4.0,3.4,4.0,2.6,4.4,4.0,4.8,3.4,2.5,4.4,3.5,3.4,4.3,3.7,4.5
151,750.0,4.0,4.0,3.4,3.7,4.3,4.1,4.6,4.1,4.5,3.7,4.1,4.2,5.1,4.3,4.1,4.4,4.3,4.1
152,737.0,4.6,4.0,4.0,4.3,5.1,4.0,3.8,4.2,4.4,3.5,5.0,3.4,3.7,4.3,3.7,4.6,2.1,5.0
153,700.0,4.9,4.5,3.6,3.5,3.7,3.4,4.9,3.9,3.8,3.3,3.1,3.3,4.2,3.5,3.7,4.1,4.5,4.1
154,677.0,3.6,4.8,3.2,4.5,2.9,2.8,3.8,3.8,4.2,3.1,4.9,3.6,3.5,4.0,2.0,4.8,4.0,4.2
155,735.0,4.3,3.3,4.2,4.3,3.1,4.2,3.3,4.1,4.4,4.4,5.2,3.7,3.1,4.1,5.0,3.7,4.9,4.2
156,712.0,4.4,3.5,4.4,3.8,3.9,3.1,3.2,4.4,3.9,3.5,4.1,3.8,4.0,4.3,4.6,3.4,4.0,4.9
157,696.0,4.0,5.3,3.0,3.8,3.9,3.7,4.1,4.4,3.3,3.2,3.3,3.1,4.2,4.4,3.9,4.3,4.3,3.4
158,699.0,4.3,4.3,4.1,4.3,3.4,3.1,3.6,3.3,3.6,3.1,3.8,3.2,3.5,4.5,4.6,4.2,4.6,4.4
159,694.0,4.3,4.8,3.9,3.8,3.9,4.1,4.1,2.7,3.9,3.3,4.1,3.0,4.1,3.8,3.9,3.3,4.5,3.9
160,754.0,3.0,4.2,4.0,4.8,4.2,4.0,4.7,4.6,4.7,3.7,3.8,4.0,4.7,3.2,4.7,4.2,5.0,3.9
161,763.0,4.4,3.8,3.9,4.4,4.7,3.8,4.3,4.3,3.8,4.3,4.7,3.2,3.6,4.3,5.0,4.8,4.6,4.4
162,714.0,4.2,3.8,4.1,4.6,3.6,3.6,4.3,4.0,4.5,4.2,4.4,2.6,4.4,3.6,3.4,3.8,4.5,3.8
163,686.0,3.9,3.0,3.8,4.3,4.0,4.7,3.3,4.0,3.1,4.6,4.7,3.3,3.5,4.1,3.3,4.1,3.9,3.0
164,739.0,4.6,3.6,4.1,3.7,4.2,3.9,4.7,4.7,5.2,4.0,3.8,3.5,4.0,4.1,4.2,3.6,3.9,4.1
165,756.0,4.4,4.1,4.0,5.0,3.4,4.5,3.9,4.9,4.6,3.9,3.4,4.5,4.5,3.8,4.5,5.0,3.4,3.8
166,772.0,3.9,4.7,5.1,4.0,4.4,4.3,3.9,4.9,3.5,3.8,5.2,4.7,4.3,3.7,4.6,3.3,4.8,4.1
167,748.0,4.5,5.3,3.0,5.0,4.3,3.9,4.0,4.1,4.2,3.5,4.5,4.0,3.9,3.8,3.9,4.3,4.8,3.8
168,722.0,4.7,4.0,4.6,3.4,4.8,4.4,3.4,5.4,2.6,4.5,3.5,4.2,3.1,4.2,3.7,3.5,4.5,3.7
169,701.0,4.9,3.7,3.7,4.7,3.6,4.0,3.3,4.4,4.0,2.5,2.9,3.8,3.7,4.9,4.5,3.9,3.8,3.8
170,693.0,3.7,3.4,4.3,4.3,4.5,3.9,3.9,4.6,2.4,4.7,4.2,3.0,3.4,4.2,2.5,5.0,4.3,3.0
171,725.0,4.5,4.4,4.2,4.2,5.2,4.0,3.4,3.6,4.1,5.0,4.1,3.6,2.4,4.8,4.2,3.6,4.1,3.1
172,719.0,4.1,3.7,3.9,4.6,3.9,4.6,4.5,2.8,3.2,3.7,3.8,3.7,4.2,4.0,4.1,4.9,4.0,4.2
173,717.0,3.8,4.0,3.9,3.2,4.4,3.8,3.4,3.6,3.9,5.0,4.1,3.9,4.2,3.8,4.8,4.2,3.8,3.9
174,783.0,3.8,4.3,4.2,4.6,4.9,4.9,4.4,3.6,4.3,5.1,4.4,5.6,4.6,4.1,3.8,4.4,3.5,3.8
175,680.0,3.3,4.8,4.2,3.1,2.3,4.4,4.1,3.2,4.3,4.2,3.9,4.6,4.0,3.7,3.3,3.2,4.5,2.9
176,733.0,3.9,4.7,4.5,4.2,4.6,3.7,3.3,4.4,3.5,3.2,4.9,3.7,4.2,4.9,4.8,4.6,3.2,3.0
